period,metric,series,value,unit
2026-01,Sản lượng điện,Cà Mau 1&2,,triệu kWh
2026-01,Sản lượng điện,Vũng Áng 1,,triệu kWh
2026-01,Sản lượng điện,Nhơn Trạch 1,,triệu kWh
2026-01,Sản lượng điện,Nhơn Trạch 2,,triệu kWh
2026-01,Sản lượng điện,Hủa Na,,triệu kWh
2026-01,Sản lượng điện,Đakđrinh,,triệu kWh
2026-01,Qc,Cà Mau 1&2,,triệu kWh
2026-01,Qc,Vũng Áng 1,,triệu kWh
2026-01,Qc,Nhơn Trạch 1,,triệu kWh
2026-01,Qc,Nhơn Trạch 2,,triệu kWh
2026-01,Doanh thu theo nhà máy,Cà Mau 1&2,,tỷ đồng
2026-01,Doanh thu theo nhà máy,Vũng Áng 1,,tỷ đồng
2026-01,Doanh thu theo nhà máy,Nhơn Trạch 1,,tỷ đồng
2026-01,Doanh thu theo nhà máy,Nhơn Trạch 2,,tỷ đồng
